"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Dingdaohengite-(Ce)","Dingdaohengite-(Ce)","(Ce,La)_4_Fe^2+^(Ti,Fe^2+^,Mg,Fe^3+^)_2_Ti_2_Si_4_O_22_","Ce^3+ La^3+ Fe^2+ Ti^4+ Mg Fe^3+ Si O"
"Dinite","Dinite","C_20_H_36_","C H"
"Diopside","Diopside","CaMgSi_2_O_6_","Ca Mg Si O"
"Dioptase","Dioptase","CuSiO_3_·H_2_O","Cu^2+ Si O H"
"Dioskouriite","Dioskouriite","CaCu_4_Cl_6_(OH)_4_·4H_2_O","Ca Cu^2+ Cl O H"
"Direnzoite","Direnzoite","NaK_6_MgCa_2_(Al_13_Si_47_)O_120_·36H_2_O","Na K Mg Ca Al Si O H"
"Dissakisite-(Ce)","Dissakisite-(Ce)","CaCe(Al_2_Mg)[Si_2_O_7_][SiO_4_]O(OH)","Ca Ce Mg Al Si O H"
"Dissakisite-(La)","Dissakisite-(La)","CaLa(Al_2_Mg)[Si_2_O_7_][SiO_4_]O(OH)","Ca La Mg Al Si O H"
"Disulfodadsonite","Disulfodadsonite","Pb_11_Sb_13_S_30_(S_2_)_0.5_","Pb^2+ Sb^3+ S^2- S"
"Dittmarite","Dittmarite","(NH_4_)Mg(PO_4_)·H_2_O","N^3- H Mg P O"
"Diversilite-(Ce)","Diversilite-(Ce)","Na_2_Ba_6_Ce_2_Fe^2+^Ti_3_Si_12_O_36_(OH)_10_·nH_2_O","Na Ba Ce^3+ Fe^2+ Ti^4+ Si O H"
"Dixenite","Dixenite","Cu^1+^Fe^3+^Mn^2+^_14_(As^5+^O_4_)(As^3+^O_3_)_5_(SiO_4_)_2_(OH)_6_","Cu^1+ Mn^2+ Fe^3+ As^3+ O Si As^5+ H"
"Djerfisherite","Djerfisherite","K_6_(Fe,Cu,Ni)_25_S_26_Cl","K Fe Cu Ni S Cl"
"Djurleite","Djurleite","Cu_31_S_16_","Cu S"
"Dmisokolovite","Dmisokolovite","K_3_Cu_5_AlO_2_(AsO_4_)_4_","K Cu^2+ Al O As^5+"
"Dmisteinbergite","Dmisteinbergite","Ca(Al_2_Si_2_O_8_)","Ca Al Si O"
"Dmitryivanovite","Dmitryivanovite","CaAl_2_O_4_","Ca Al O"
"Dobrovolskyite","Dobrovolskyite","Na_4_Ca(SO_4_)_3_","Na Ca S^6+ O"
"Dobšináite","Dobsinaite","Ca_2_Ca(AsO_4_)_2_·2H_2_O","Ca As^5+ O H"
"Dokuchaevite","Dokuchaevite","Cu_8_O_2_(VO_4_)_3_Cl_3_","Cu^2+ O V^5+ Cl"
"Dolerophanite","Dolerophanite","Cu_2_O(SO_4_)","Cu^2+ O S^6+"
"Dollaseite-(Ce)","Dollaseite-(Ce)","CaCe(Mg_2_Al)[Si_2_O_7_][SiO_4_]F(OH)","Ca Ce Mg Al Si O H F"
"Dolomite","Dolomite","CaMg(CO_3_)_2_","Ca Mg C O"
"Doloresite","Doloresite","V^4+^_3_O_4_(OH)_4_","V^4+ O H"
"Domerockite","Domerockite","Cu_4_(AsO_4_)(AsO_3_OH)(OH)_3_·H_2_O","Cu^2+ As^5+ O H"
"Domeykite","Domeykite","Cu_3_As","Cu As"
"Domeykite-β","Domeykite-beta","Cu_3_As","Cu As"
"Donbassite","Donbassite","Al_2_(Si_3_Al)O_10_(OH)_2_·Al_2.33_(OH)_6_","Al Si O H"
"Dondoellite","Dondoellite","Ca_2_Fe(PO_4_)_2_·2H_2_O","Ca Fe^2+ P O H"
"Dongchuanite","Dongchuanite","Pb_4_ZnZn_2_(PO_4_)_4_(OH)_2_","Pb^2+ Zn^2+ P O H"
"Donharrisite","Donharrisite","Ni_3_HgS_3_","Ni Hg S"
"Donnayite-(Y)","Donnayite-(Y)","NaSr_3_CaY(CO_3_)_6_·3H_2_O","Na Sr Ca Y C O H"
"Donowensite","Donowensite","Ca(H_2_O)_3_Fe^3+^_2_(V_2_O_7_)_2_","Ca H O Fe^3+ V^5+"
"Donpeacorite","Donpeacorite","(Mn,Mg)MgSi_2_O_6_","Mn^2+ Mg Si O"
"Donwilhelmsite","Donwilhelmsite","CaAl_4_Si_2_O_11_","Ca Al Si O"
"Dorallcharite","Dorallcharite","TlFe^3+^_3_(SO_4_)_2_(OH)_6_","Tl Fe^3+ S^6+ O H"
"Dorfmanite","Dorfmanite","Na_2_(PO_3_OH)·2H_2_O","Na P O H"
"Dorrite","Dorrite","Ca_4_[Mg_3_Fe^3+^_9_]O_4_[Si_3_Al_8_Fe^3+^O_36_]","Ca Mg Fe^3+ O Si Al"
"Douglasite","Douglasite","K_2_Fe^2+^Cl_4_·2H_2_O","K Fe^2+ Cl H O"
"Dovyrenite","Dovyrenite","Ca_6_Zr(Si_2_O_7_)_2_(OH)_4_","Ca Zr^4+ Si O H"
"Downeyite","Downeyite","SeO_2_","Se^4+ O"
"Doyleite","Doyleite","Al(OH)_3_","Al O H"
"Dozyite","Dozyite","Mg_7_Al_2_(Si_4_Al_2_)O_15_(OH)_12_","Mg Al Si O H"
"Dravertite","Dravertite","CuMg(SO_4_)_2_","Cu^2+ Mg S^6+ O"
"Dravite","Dravite","NaMg_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_(OH)","Na Mg Al Si O B H"
"Drechslerite","Drechslerite","Tl_4_(Sb_4-x_As_x_)S_8_ (1 < x < 2)","Tl Sb As S"
"Dresserite","Dresserite","Ba_2_Al_4_(CO_3_)_4_(OH)_8_·3H_2_O","Ba Al C O H"
"Dreyerite","Dreyerite","Bi(VO_4_)","Bi^3+ V^5+ O"
"Dritsite","Dritsite","Li_2_Al_4_(OH)_12_Cl_2_·3H_2_O","Li Al O H Cl"
"Drobecite","Drobecite","Cd(SO_4_)·4H_2_O","Cd^2+ S^6+ O H"
"Droninoite","Droninoite","Ni_6_Fe^3+^_2_Cl_2_(OH)_16_·4H_2_O","Ni^2+ Fe^3+ Cl O H"
"Drugmanite","Drugmanite","Pb_2_Fe^3+^(PO_4_)(PO_3_OH)(OH)_2_","Pb^2+ Fe^3+ P O H"
"Drysdallite","Drysdallite","MoSe_2_","Mo^4+ Se^2-"
"Dualite","Dualite","Na_30_(Ca,Na,Ce,Sr)_12_(Na,Mn,Fe,Ti)_6_Zr_3_Ti_3_MnSi_51_O_144_(OH,H_2_O,Cl)_9_","Na Ca Ce Sr Mn^2+ Fe^2+ Ti^4+ Zr^4+ Si O H Cl"
"Dufrénite","Dufrenite","Ca_0.5_Fe^2+^Fe^3+^_5_(PO_4_)_4_(OH)_6_·2H_2_O","Ca Fe^2+ Fe^3+ P O H"
"Dufrénoysite","Dufrenoysite","Pb_2_As_2_S_5_","Pb^2+ As^3+ S^2-"
"Duftite","Duftite","PbCu(AsO_4_)(OH)","Pb^2+ Cu^2+ As^5+ O H"
"Dugganite","Dugganite","Pb_3_Zn_3_(TeO_6_)(AsO_4_)_2_","Pb^2+ Zn^2+ Te^6+ O As^5+"
"Dukeite","Dukeite","Bi^3+^_24_Cr^6+^_8_O_57_(OH)_6_·3H_2_O","Bi^3+ Cr^6+ O H"
"Dumontite","Dumontite","Pb_2_(UO_2_)_3_O_2_(PO_4_)_2_·5H_2_O","Pb^2+ U^6+ O P H"
"Dumortierite","Dumortierite","AlAl_6_BSi_3_O_18_","Al B Si O"
"Dundasite","Dundasite","PbAl_2_(CO_3_)_2_(OH)_4_·H_2_O","Pb^2+ Al C O H"
"Durangite","Durangite","NaAl(AsO_4_)F","Na Al As^5+ O F"
"Duranusite","Duranusite","As_4_S","As S"
"Dusmatovite","Dusmatovite","KK_2_Mn_2_(Zn_2_LiSi_12_)O_30_","K Mn^2+ Zn^2+ Li Si O"
"Dussertite","Dussertite","BaFe^3+^_3_(AsO_4_)(AsO_3_OH)(OH)_6_","Ba Fe^3+ As^5+ O H"
"Dutkevichite-(Ce)","Dutkevichite-(Ce)","NaZnBa_2_Ce_2_Ti_2_Si_8_O_26_F·H_2_O","Na Zn^2+ Ba Ce Ti^4+ Si O F H"
"Dutrowite","Dutrowite","Na(Fe^2+^_2.5_Ti_0.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_O","Na Fe^2+ Ti^4+ Al Si O B H"
"Duttonite","Duttonite","V^4+^O(OH)_2_","V^4+ O H"
"Dwornikite","Dwornikite","Ni(SO_4_)·H_2_O","Ni^2+ S^6+ O H"
"Dymkovite","Dymkovite","Ni(UO_2_)_2_(As^3+^O_3_)_2_·7H_2_O","Ni^2+ U^6+ O As^3+ H"
"Dypingite","Dypingite","Mg_5_(CO_3_)_4_(OH)_2_·5H_2_O","Mg C O H"
"Dyrnaesite-(La)","Dyrnaesite-(La)","Na_8_Ce^4+^(La,REE)_2_(PO_4_)_6_","Na Ce^4+ La^3+ P O"
"Dyscrasite","Dyscrasite","Ag_3+x_Sb_1-x_ (x ≈ 0.2)","Ag Sb"
"Dzhalindite","Dzhalindite","In(OH)_3_","In^3+ O H"
"Dzharkenite","Dzharkenite","FeSe_2_","Fe^2+ Se"
"Dzhuluite","Dzhuluite","Ca_3_(SbSn)(Fe^3+^O_4_)_3_","Ca Sn^4+ Sb^5+ Fe^3+ O"
"Dzierżanowskite","Dzierzanowskite","CaCu_2_S_2_","Ca Cu S"
"Eakerite","Eakerite","Ca_2_Sn^4+^Al_2_Si_6_O_18_(OH)_2_·2H_2_O","Ca Sn^4+ Al Si O H"
"Earlandite","Earlandite","Ca_3_(C_6_H_5_O_7_)_2_·4H_2_O","Ca C H O"
"Earlshannonite","Earlshannonite","Mn^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·4H_2_O","Mn^2+ Fe^3+ P O H"
"Eastonite","Eastonite","KAlMg_2_(Si_2_Al_2_)O_10_(OH)_2_","K Al Mg Si O H"
"Ecandrewsite","Ecandrewsite","ZnTiO_3_","Zn^2+ Ti^4+ O"
"Ecdemite","Ecdemite","Pb_6_As^3+^_2_O_7_Cl_4_","Pb^2+ As^3+ O Cl"
"Eckerite","Eckerite","Ag_2_CuAsS_3_","Ag^1+ Cu^1+ As^3+ S^2-"
"Eckermannite","Eckermannite","NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_","Na Mg Al Si O H"
"Eckhardite","Eckhardite","(Ca,Pb)Cu^2+^Te^6+^O_5_(H_2_O)","Ca Pb^2+ Cu^2+ Te^6+ O H"
"Eclarite","Eclarite","(Cu,Fe)Pb_9_Bi_12_S_28_","Cu^2+ Fe^2+ Pb^2+ Bi^3+ S^2-"
"Écrinsite","Ecrinsite","AgTl_3_Pb_4_As_11_Sb_9_S_36_","Ag^1+ Tl^1+ Pb^2+ As^3+ Sb^3+ S^2-"
"Eddavidite","Eddavidite","Cu_12_Pb_2_O_15_Br_2_","Cu^2+ Pb^4+ O Br"
"Edenharterite","Edenharterite","TlPbAs_3_S_6_","Tl^1+ Pb^2+ As^3+ S^2-"
"Edenite","Edenite","NaCa_2_Mg_5_(Si_7_Al)O_22_(OH)_2_","Na Ca Mg Si Al O H"
"Edgarbaileyite","Edgarbaileyite","Hg^1+^_6_Si_2_O_7_","Hg^1+ Si O"
"Edgarite","Edgarite","FeNb_3_S_6_","Fe^3+ Nb^3+ S^2-"
"Edgrewite","Edgrewite","Ca_9_(SiO_4_)_4_F_2_","Ca Si O F"
"Edingtonite","Edingtonite","Ba(Si_3_Al_2_)O_10_·4H_2_O","Ba Si Al O H"
"Edoylerite","Edoylerite","Hg^2+^_3_(Cr^6+^O_4_)S_2_","Hg^2+ Cr^6+ O S^2-"
"Edscottite","Edscottite","Fe_5_C_2_","Fe C"
"Edtollite","Edtollite","K_2_NaCu_5_Fe^3+^O_2_(AsO_4_)_4_","K Na Cu^2+ Fe^3+ O As^5+"
"Edwardsite","Edwardsite","Cu_3_Cd_2_(SO_4_)_2_(OH)_6_·4H_2_O","Cu^2+ Cd^2+ S^6+ O H"
"Effenbergerite","Effenbergerite","BaCuSi_4_O_10_","Ba Cu^2+ Si O"
"Efremovite","Efremovite","(NH_4_)_2_Mg_2_(SO_4_)_3_","N^3- H Mg S^6+ O"
"Eggletonite","Eggletonite","(Na,K,Ca)_x_Mn_6_(Si,Al)_10_O_24_(OH)_4_·nH_2_O (x = 1-2; n = 7-11)","Na K Ca Mn^2+ Si Al O H"
"Eglestonite","Eglestonite","([Hg^1+^]_2_)_3_OCl_3_(OH)","Hg^1+ O Cl H"
"Ehrleite","Ehrleite","Ca_2_ZnBe(PO_4_)_2_(PO_3_OH)·4H_2_O","Ca Zn^2+ Be P O H"
"Eifelite","Eifelite","KNa_2_(MgNa)(Mg_3_Si_12_)O_30_","K Na Mg Si O"
"Eirikite","Eirikite","KNa_6_Be_2_(Si_15_Al_3_)O_39_F_2_","K Na Be Si Al O F"
"Eitelite","Eitelite","Na_2_Mg(CO_3_)_2_","Na Mg C O"
"Ekanite","Ekanite","Ca_2_ThSi_8_O_20_","Ca Th Si O"
"Ekaterinite","Ekaterinite","Ca_2_B_4_O_7_Cl_2_·2H_2_O","Ca B O Cl H"
"Ekatite","Ekatite","(Fe^3+^,Fe^2+^,Zn)_12_(AsO_3_)_6_(AsO_3_,SiO_3_OH)_2_(OH)_6_","Fe^3+ Fe^2+ Zn^2+ As^3+ O Si H"
"Ekebergite","Ekebergite","ThFeNb_2_O_8_","Th^4+ Fe^2+ Nb^5+ O"
"Ekplexite","Ekplexite","(Nb,Mo)S_2_·(Mg_1-x_Al_x_)(OH)_2+x_","Nb Mo W S Mg Al O H"
"Elasmochloite","Elasmochloite","Na_3_Cu_6_BiO_4_(SO_4_)_5_","Na Cu^2+ Bi^3+ O S^6+"
"Elbaite","Elbaite","Na(Al_1.5_Li_1.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_(OH)","Na Al Li Si O B H"
"Elbrusite","Elbrusite","Ca_3_(U^6+^_0.5_Zr_1.5_)(Fe^3+^O_4_)_3_","Ca Zr^4+ U^6+ Fe^3+ O"
"Eldfellite","Eldfellite","NaFe^3+^(SO_4_)_2_","Na Fe^3+ S^6+ O"
"Eldragónite","Eldragonite","Cu_6_BiSe_4_(Se_2_)","Cu Bi Se"
"Eleomelanite","Eleomelanite","(K_2_Pb)Cu_4_O_2_(SO_4_)_4_","K Pb^2+ Cu^2+ O S^6+"
"Elgoresyite","Elgoresyite","(Mg_5_Si_2_)O_9_","Mg Si O"
"Eliopoulosite","Eliopoulosite","V_7_S_8_","V S"
"Eliseevite","Eliseevite","Na_1.5_Li{Ti_2_O_2_[Si_4_O_10.5_(OH)_1.5_]}·2H_2_O","Na Li Ti^4+ O Si H"
"Ellenbergerite","Ellenbergerite","Mg_6_(Mg,Ti,Zr,[box])_2_(Al,Mg)_6_Si_8_O_28_(OH)_10_","Mg Ti^4+ Zr^4+ Al Si O H"
"Ellinaite","Ellinaite","CaCr_2_O_4_","Ca Cr^3+ O"
"Ellingsenite","Ellingsenite","Na_5_Ca_6_Si_18_O_38_(OH)_13_·6H_2_O","Na Ca Si O H"
"Elliottite","Elliottite","NaMgAl_3_(PO_4_)_2_F_6_·9H_2_O","Na Mg Al P O F H"
"Ellisite","Ellisite","Tl_3_AsS_3_","Tl As S"
"Elpasolite","Elpasolite","K_2_NaAlF_6_","K Na Al F"
"Elpidite","Elpidite","Na_2_ZrSi_6_O_15_·3H_2_O","Na Zr^4+ Si O H"
"Eltyubyuite","Eltyubyuite","Ca_12_Fe^3+^_10_Si_4_O_32_Cl_6_","Ca Fe^3+ Si O Cl"
"Elyite","Elyite","CuPb_4_(SO_4_)O_2_(OH)_4_·H_2_O","Cu^2+ Pb^2+ S^6+ O H"
"Embreyite","Embreyite","Pb_5_(CrO_4_)_2_(PO_4_)_2_·H_2_O","Pb^2+ Cr^6+ O P H"
"Emeleusite","Emeleusite","Na_2_LiFe^3+^Si_6_O_15_","Na Li Fe^3+ Si O"
"Emilite","Emilite","Cu_10.7_Pb_10.7_Bi_21.3_S_48_","Cu^1+ Pb^2+ Bi^3+ S^2-"
"Emmerichite","Emmerichite","Ba_2_Ti_2_Na_3_Fe^3+^(Si_2_O_7_)_2_O_2_F_2_","Ba Ti^4+ Na Fe^3+ Si O F"
"Emmonsite","Emmonsite","Fe^3+^_2_(Te^4+^O_3_)_3_·2H_2_O","Fe^3+ Te^4+ O H"
"Emplectite","Emplectite","CuBiS_2_","Cu^1+ Bi^3+ S^2-"
"Empressite","Empressite","AgTe","Ag Te"
"Enargite","Enargite","Cu_3_AsS_4_","Cu As S"
"Engelhauptite","Engelhauptite","KCu_3_(V_2_O_7_)(OH)_2_Cl","K Cu^2+ V^5+ O H Cl"
"Englishite","Englishite","K_3_Na_2_Ca_10_Al_15_(OH)_7_(PO_4_)_21_·26H_2_O","K Na Ca Al O H P"
"Enneasartorite","Enneasartorite","Tl_6_Pb_32_As_70_S_140_","Tl^1+ Pb^2+ As^3+ S^2-"
"Enstatite","Enstatite","Mg_2_Si_2_O_6_","Mg Si O"
"Eosphorite","Eosphorite","Mn^2+^Al(PO_4_)(OH)_2_·H_2_O","Mn^2+ Al P O H"
"Ephesite","Ephesite","NaLiAl_2_(Si_2_Al_2_)O_10_(OH)_2_","Na Li Al Si O H"
"Epididymite","Epididymite","Na_2_Be_2_Si_6_O_15_·H_2_O","Na Be Si O H"
"Epidote","Epidote","Ca_2_(Al_2_Fe^3+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca Fe^3+ Al Si O H"
"Epidote-(Sr)","Epidote-(Sr)","CaSr(Al_2_Fe^3+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca Sr Fe^3+ Al Si O H"
"Epifanovite","Epifanovite","NaCaCu_5_(PO_4_)_4_[AsO_2_(OH)_2_]·7H_2_O","Na Ca Cu^2+ P O As^5+ H"
"Epistilbite","Epistilbite","Ca_3_[Si_18_Al_6_O_48_]·16H_2_O","Ca Si Al O H"
"Epistolite","Epistolite","(Na[box])Nb_2_Na_3_Ti(Si_2_O_7_)_2_O_2_(OH)_2_(H_2_O)_4_","Na Nb^5+ Ti^4+ Si O H"
"Epsomite","Epsomite","Mg(SO_4_)·7H_2_O","Mg S^6+ O H"
"Erazoite","Erazoite","Cu_4_SnS_6_","Cu Sn S"
"Ercitite","Ercitite","NaMn^3+^(PO_4_)(OH)·2H_2_O","Na Mn^3+ P O H"
"Erdite","Erdite","NaFeS_2_·2H_2_O","Na Fe^3+ S^2- H O"
"Ericaite","Ericaite","Fe^2+^_3_B_7_O_13_Cl","Fe^2+ B O Cl"
"Ericlaxmanite","Ericlaxmanite","Cu_4_O(AsO_4_)_2_","Cu^2+ O As^5+"
"Ericssonite","Ericssonite","BaMn^2+^_2_Fe^3+^(Si_2_O_7_)O(OH)","Ba Mn^2+ Fe^3+ Si O H"
"Erikapohlite","Erikapohlite","([box]_0.5_Cu_0.5_)CuCaZn_2_(AsO_4_)_3_·H_2_O","Cu^2+ Ca Zn^2+ As^5+ O H"
"Erikjonssonite","Erikjonssonite","(Pb_32_O_21_)[(V,Si,Mo,As)O_4_]_4_Cl_9_","Pb^2+ O V^5+ Si Mo^6+ As^5+ Cl"
"Eringaite","Eringaite","Ca_3_Sc_2_(SiO_4_)_3_","Ca Sc^3+ Si O"
"Eriochalcite","Eriochalcite","CuCl_2_·2H_2_O","Cu^2+ Cl H O"
"Erionite-Ca","Erionite-Ca","Ca_5_[Si_26_Al_10_O_72_]·30H_2_O","Ca Si Al O H"
"Erionite-K","Erionite-K","K_10_[Si_26_Al_10_O_72_]·30H_2_O","K Si Al O H"
"Erionite-Na","Erionite-Na","Na_10_[Si_26_Al_10_O_72_]·30H_2_O","Na Si Al O H"
"Erlianite","Erlianite","Fe^2+^_4_Fe^3+^_2_Si_6_O_15_(OH)_8_","Fe^2+ Fe^3+ Si O H"
"Erlichmanite","Erlichmanite","OsS_2_","Os^2+ S"
"Ermakovite","Ermakovite","(NH_4_)(As_2_O_3_)_2_Br","N^3- H As^3+ O Br"
"Ernienickelite","Ernienickelite","NiMn^4+^_3_O_7_·3H_2_O","Ni^2+ Mn^4+ O H"
"Erniggliite","Erniggliite","Tl_2_SnAs_2_S_6_","Tl Sn As S"
"Ernstburkeite","Ernstburkeite","Mg(CH_3_SO_3_)_2_·12H_2_O","Mg C H S^6+ O"
"Ernstite","Ernstite","(Mn^2+^,Fe^3+^)Al(PO_4_)(OH,O)_2_","Mn^2+ Fe^3+ Al P O H"
"Ershovite","Ershovite","K_3_Na_4_(Fe,Mn,Ti)_2_Si_8_O_20_(OH,O)_4_·4H_2_O","K Na Fe^2+ Mn^2+ Ti^4+ Si O H"
"Erssonite","Erssonite","CaMg_7_Fe^3+^_2_(OH)_18_(SO_4_)_2_·12H_2_O","Ca Mg Fe^3+ O H S^6+"
"Ertixiite","Ertixiite","Na_2_Si_4_O_9_","Na Si O"
"Erythrite","Erythrite","Co_3_(AsO_4_)_2_·8H_2_O","Co^2+ As^5+ O H"
"Erythrosiderite","Erythrosiderite","K_2_Fe^3+^Cl_5_·H_2_O","K Fe^3+ Cl H O"
"Erzwiesite","Erzwiesite","Ag_8_Pb_12_Bi_16_S_40_","Ag^1+ Pb^2+ Bi^3+ S^2-"
"Escheite","Escheite","Ca_2_NaMnTi_5_[Si_12_O_34_]O_2_(OH)_3_·12H_2_O","Ca Na Mn^2+ Ti^4+ Si O H"
"Esdanaite-(Ce)","Esdanaite-(Ce)","NaMnCe(PO_4_)_2_·4H_2_O","Na Mn^2+ Ce P O H"
"Eskebornite","Eskebornite","CuFeSe_2_","Cu^1+ Fe^3+ Se^2-"
"Eskimoite","Eskimoite","Ag_7_Pb_10_Bi_15_S_36_","Ag^1+ Pb^2+ Bi^3+ S^2-"
"Eskolaite","Eskolaite","Cr_2_O_3_","Cr^3+ O"
"Espadaite","Espadaite","Na_4_Ca_3_Mg_2_[AsO_3_(OH)]_2_[AsO_2_(OH)_2_]_10_(H_2_O)_6_·H_2_O","Na Ca Mg As^5+ O H"
"Esperanzaite","Esperanzaite","NaCa_2_Al_2_(AsO_4_)_2_F_4_(OH)·2H_2_O","Na Ca Al As^5+ O F H"
"Esperite","Esperite","PbCa_2_(ZnSiO_4_)_3_","Pb^2+ Ca Zn^2+ Si O"
"Esquireite","Esquireite","BaSi_6_O_13_·7H_2_O","Ba Si O H"
"Esseneite","Esseneite","CaFe^3+^AlSiO_6_","Ca Fe^3+ Al Si O"
"Ettringite","Ettringite","Ca_6_Al_2_(SO_4_)_3_(OH)_12_·27H_2_O","Ca Al S^6+ O H"
"Eucairite","Eucairite","CuAgSe","Cu Ag Se"
"Euchlorine","Euchlorine","KNaCu_3_O(SO_4_)_3_","K Na Cu^2+ O S^6+"
"Euchroite","Euchroite","Cu_2_(AsO_4_)(OH)·3H_2_O","Cu^2+ As^5+ O H"
"Euclase","Euclase","BeAlSiO_4_(OH)","Be Al Si O H"
"Eucryptite","Eucryptite","LiAlSiO_4_","Li Al Si O"
"Eudialyte","Eudialyte","Na_15_Ca_6_Fe_3_Zr_3_Si(Si_25_O_73_)(O,OH,H_2_O)_3_(Cl,OH)_2_","Na Ca Fe^2+ Zr^4+ Si O H Cl"
"Eudidymite","Eudidymite","Na_2_Be_2_Si_6_O_15_·H_2_O","Na Be Si O H"
"Eugenite","Eugenite","Ag_11_Hg_2_","Ag Hg"
"Eugsterite","Eugsterite","Na_4_Ca(SO_4_)_3_·2H_2_O","Na Ca S^6+ O H"
"Eulytine","Eulytine","Bi_4_(SiO_4_)_3_","Bi^3+ Si O"
"Eurekadumpite","Eurekadumpite","(Cu,Zn)_16_(Te^4+^O_3_)_2_(AsO_4_)_3_Cl(OH)_18_·7H_2_O","Cu^2+ Zn^2+ Te^4+ O As^5+ Cl H"
"Euxenite-(Y)","Euxenite-(Y)","(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)_2_O_6_","Y^3+ Ca Ce^3+ U^4+ Th^4+ Nb^5+ Ta^5+ Ti^4+ O"
"Evanichite","Evanichite","Pb_6_Cr^3+^(Cr^6+^O_4_)_2_(SO_4_)(OH)_7_FCl","Pb^2+ Cr^3+ Cr^6+ O S^6+ H F Cl"
"Evansite","Evansite","Al_3_(PO_4_)(OH)_6_·8H_2_O","Al P O H"
"Evdokimovite","Evdokimovite","Tl_4_(VO)_3_(SO_4_)_5_(H_2_O)_5_","Tl^1+ V^4+ O S^6+ H"
"Eveite","Eveite","Mn^2+^_2_(AsO_4_)(OH)","Mn^2+ As^5+ O H"
"Evenkite","Evenkite","C_23_H_48_","C H"
"Eveslogite","Eveslogite","(Ca,K,Na,Sr,Ba)_48_(Ti,Nb,Fe,Mn)_12_(OH)_12_Si_48_O_144_(OH,F,Cl)_14_","Ca K Na Sr Ba Ti^4+ Nb^5+ Fe^2+ Fe^3+ Mn^2+ O H Si F Cl"
"Evseevite","Evseevite","Na_2_Mg(AsO_4_)F","Na Mg As^5+ O F"
"Ewaldite","Ewaldite","Ba(Na,Ca,Y,Ce,K)(CO_3_)_2_·2.6H_2_O","Ba Na Ca Y Ce K C O H"
"Ewingite","Ewingite","Mg_8_Ca_8_(UO_2_)_24_(CO_3_)_30_O_4_(OH)_12_(H_2_O)_138_","Mg Ca U^6+ O C^4+ H"
"Eylettersite","Eylettersite","Th_0.75_Al_3_(PO_4_)_2_(OH)_6_","Th^4+ Al P O H"
"Eyselite","Eyselite","Fe^3+^Ge^4+^_3_O_7_(OH)","Fe^3+ Ge^4+ O H"
"Ezcurrite","Ezcurrite","Na_2_B_5_O_7_(OH)_3_·2H_2_O","Na B O H"
"Eztlite","Eztlite","Pb_2_Fe^3+^_3_(Te^4+^O_3_)_3_(SO_4_)O_2_Cl","Pb^2+ Fe^3+ Te^4+ O S^6+ Cl"
"Fabianite","Fabianite","CaB_3_O_5_(OH)","Ca B O H"
"Fabrièsite","Fabriesite","Na_3_Al_3_Si_3_O_12_·2H_2_O","Na Al Si O H"
"Faheyite","Faheyite","Be_2_Mn^2+^Fe^3+^_2_(PO_4_)_4_·6H_2_O","Be Mn^2+ Fe^3+ P O H"
"Fahleite","Fahleite","CaZn_5_Fe^3+^_2_(AsO_4_)_6_·14H_2_O","Ca Zn^2+ Fe^3+ As^5+ O H"
"Fairbankite","Fairbankite","Pb^2+^_12_(Te^4+^O_3_)_11_(SO_4_)","Pb^2+ Te^4+ O S^6+"
"Fairchildite","Fairchildite","K_2_Ca(CO_3_)_2_","K Ca C O"
"Fairfieldite","Fairfieldite","Ca_2_Mn^2+^(PO_4_)_2_·2H_2_O","Ca Mn^2+ P O H"
"Faizievite","Faizievite","Li_6_K_2_Na(Ca_6_Na)Ti_4_(Si_6_O_18_)_2_(Si_12_O_30_)F_2_","Li K Na Ca Ti^4+ Si O F"
"Falcondoite","Falcondoite","Ni_4_Si_6_O_15_(OH)_2_·6H_2_O","Ni^2+ Si O H"
"Falgarite","Falgarite","K_4_(VO)_3_(SO_4_)_5_","K V^4+ O S^6+"
"Falkmanite","Falkmanite","Pb_3_Sb_2_S_6_","Pb^2+ Sb^3+ S^2-"
"Falottaite","Falottaite","MnC_2_O_4_·3H_2_O","Mn^2+ C O H"
"Falsterite","Falsterite","Ca_2_MgMn^2+^_2_Fe^2+^_2_Fe^3+^_2_Zn_4_(PO_4_)_8_(OH)_4_(H_2_O)_14_","Ca Mg Mn^2+ Fe^2+ Fe^3+ Zn^2+ P O H"
"Famatinite","Famatinite","Cu_3_SbS_4_","Cu^1+ Cu^2+ Sb^3+ S^2-"
"Fanfaniite","Fanfaniite","Ca_4_Mn^2+^Al_4_(PO_4_)_6_(OH)_4_·12H_2_O","Ca Mn^2+ Al P O H"
"Fangite","Fangite","Tl_3_AsS_4_","Tl As S"
