"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Davidite-(Ce)","Davidite-(Ce)","Ce(Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH,F)38","Ce Y U Fe Ti Cr V O H F"
"Davidite-(La)","Davidite-(La)","La(Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH,F)38","La Y U Fe Ti Cr V O H F"
"Davidite-(Y)","Davidite-(Y)","(Y,U)(Ti,Fe3+)21O38","Y U Ti Fe O"
"Davidlloydite","Davidlloydite","Zn3(AsO4)2·4H2O","Zn As O H"
"Davidsmithite","Davidsmithite","(Ca,[box])2Na6Al8Si8O32","Ca Na Al Si O"
"Davinciite","Davinciite","Na12K3Ca6Fe2+3Zr3(Si26O73OH)Cl2","Na K Ca Fe Zr Si O H Cl"
"Davisite","Davisite","CaScAlSiO6","Ca Sc Al Si O"
"Davreuxite","Davreuxite","Mn2+Al6Si4O17(OH)2","Mn Al Si O H"
"Davyne","Davyne","[(Na,K)6(SO4)0.5Cl][Ca2Cl2][(Si6Al6O24)]","Na K S O Cl Ca Si Al"
"Dawsonite","Dawsonite","NaAl(CO3)(OH)2","Na Al C O H"
"Deanesmithite","Deanesmithite","Hg1+2Hg2+3S2O(CrO4)","Hg S O Cr"
"Debattistiite","Debattistiite","Ag9Hg0.5As6S12Te2","Ag Hg As S Te"
"Decagonite","Decagonite","Al71Ni24Fe5","Al Ni Fe"
"Decrespignyite-(Y)","Decrespignyite-(Y)","Y4Cu(CO3)4Cl(OH)5·2H2O","Y Cu C O Cl H"
"Deerite","Deerite","Fe2+6Fe3+3(Si6O17)O3(OH)5","Fe Si O H"
"Defernite","Defernite","Ca6(CO3)1.58(Si2O7)0.21(OH)7[Cl0.50(OH)0.08(H2O)0.42]","Ca C O Si H Cl"
"Dekatriasartorite","Dekatriasartorite","TlPb58As97S204","Tl Pb As S"
"Delafossite","Delafossite","Cu1+Fe3+O2","Cu Fe O"
"Delhayelite","Delhayelite","K7Na3Ca5Al2Si14O38F4Cl2","K Na Ca Al Si O F Cl"
"Delhuyarite-(Ce)","Delhuyarite-(Ce)","Ce4Mg(Fe3+2W)[box](Si2O7)2O6(OH)2","Ce Mg Fe W Si O H"
"Deliensite","Deliensite","Fe2+(UO2)2(SO4)2(OH)2·7H2O","Fe U O S H"
"Delindeite","Delindeite","Ba2Ti2(Na2[box])Ti(Si2O7)2(OH)2(H2O)2O2","Ba Ti Na Si O H"
"Dellagiustaite","Dellagiustaite","V2+Al2O4","V Al O"
"Dellaite","Dellaite","Ca6(Si2O7)(SiO4)(OH)2","Ca Si O H"
"Deloneite","Deloneite","(Na0.5REE0.25Ca0.25)(Ca0.75REE0.25)Sr1.5(CaNa0.25REE0.25)(PO4)3F0.5(OH)0.5","Na REE Ca Sr P O F H"
"Deloryite","Deloryite","Cu4(UO2)Mo2O8(OH)6","Cu U O Mo H"
"Delrioite","Delrioite","Sr(VO3)2·4H2O","Sr V O H"
"Deltalumite","Deltalumite","(Al0.67[box]0.33)Al2O4","Al O"
"Delvauxite","Delvauxite","CaFe3+4(PO4)2(OH)8·4-5H2O","Ca Fe P O H"
"Demagistrisite","Demagistrisite","BaCa2Mn3+4(Si3O10)(Si2O7)(OH)4·3H2O","Ba Ca Mn Si O H"
"Demartinite","Demartinite","K2SiF6","K Si F"
"Demesmaekerite","Demesmaekerite","Pb2Cu5(UO2)2(Se4+O3)6(OH)6·2H2O","Pb Cu U O Se H"
"Demicheleite-(Br)","Demicheleite-(Br)","BiSBr","Bi S Br"
"Demicheleite-(Cl)","Demicheleite-(Cl)","BiSCl","Bi S Cl"
"Demicheleite-(I)","Demicheleite-(I)","BiSI","Bi S I"
"Dendoraite-(NH<sub>4</sub>)","Dendoraite-(NH4)","(NH4)2NaAl(C2O4)(PO3OH)2(H2O)2","N H Na Al C O P"
"Denisovite","Denisovite","KCa2Si3O8F","K Ca Si O F"
"Denningite","Denningite","CaMn2+Te4+4O10","Ca Mn Te O"
"Depmeierite","Depmeierite","Na8[Al6Si6O24](PO4,CO3)1-x·3H2O (x< 0.5)","Na Al Si O P C H"
"Derbylite","Derbylite","Fe3+4Ti4+3Sb3+O13(OH)","Fe Ti Sb O H"
"Derriksite","Derriksite","Cu4(UO2)(Se4+O3)2(OH)6","Cu U O Se H"
"Dervillite","Dervillite","Ag2AsS2","Ag As S"
"Desautelsite","Desautelsite","Mg6Mn3+2(CO3)(OH)16·4H2O","Mg Mn C O H"
"Descloizite","Descloizite","PbZn(VO4)(OH)","Pb Zn V O H"
"Despujolsite","Despujolsite","Ca3Mn4+(SO4)2(OH)6·3H2O","Ca Mn S O H"
"Dessauite-(Y)","Dessauite-(Y)","Sr(Y,U,Mn)Fe2(Ti,Fe,Cr,V)18(O,OH)38","Sr Y U Mn Fe Ti Cr V O H"
"Destinezite","Destinezite","Fe3+2(PO4)(SO4)(OH)·6H2O","Fe P O S H"
"Deveroite-(Ce)","Deveroite-(Ce)","Ce2(C2O4)3·10H2O","Ce C O H"
"Devilliersite","Devilliersite","Ca4Ca2Fe3+10O4[(Fe3+10Si2)O36]","Ca Fe O Si"
"Devilline","Devilline","CaCu4(SO4)2(OH)6·3H2O","Ca Cu S O H"
"Devitoite","Devitoite","Ba6Fe2+7Fe3+2(Si4O12)2(PO4)2(CO3)O2(OH)4","Ba Fe Si O P C H"
"Deweylite","Deweylite","",""
"Dewindtite","Dewindtite","H2Pb3(UO2)6O4(PO4)4·12H2O","H Pb U O P"
"Dewitite","Dewitite","AgzTl10-x-zPb2xSb42-x-yAsyS68 (0.09 ≤ x ≤ 2.13, 13.99 ≤ y ≤ 19.79, 0.10 ≤ z ≤ 0.50)","Ag Tl Pb Sb As S"
"Deynekoite","Deynekoite","Ca9Fe3+(PO4)7","Ca Fe P O"
"Diaboleite","Diaboleite","CuPb2Cl2(OH)4","Cu Pb Cl O H"
"Diadochite","Diadochite","Fe3+2(PO4)(SO4)(OH)·6H2O","Fe P O S H"
"Diamond","Diamond","C","C"
"Diaoyudaoite","Diaoyudaoite","NaAl11O17","Na Al O"
"Diaphorite","Diaphorite","Ag3Pb2Sb3S8","Ag Pb Sb S"
"Diaspore","Diaspore","AlO(OH)","Al O H"
"Dickinsonite-(KMnNa)","Dickinsonite-(KMnNa)","K(NaMn)CaNa3AlMn13(PO4)12(OH)2","K Na Mn Ca Al P O H"
"Dickite","Dickite","Al2Si2O5(OH)4","Al Si O H"
"Dickthomssenite","Dickthomssenite","MgV2O6·7H2O","Mg V O H"
"Diegogattaite","Diegogattaite","Na2CaCu2Si8O20·H2O","Na Ca Cu Si O H"
"Dienerite","Dienerite","Ni3As","Ni As"
"Dietrichite","Dietrichite","ZnAl2(SO4)4·22H2O","Zn Al S O H"
"Dietzeite","Dietzeite","Ca2(IO3)2(CrO4)·H2O","Ca I O Cr H"
"Digenite","Digenite","Cu1.8S","Cu S"
"Dimorphite","Dimorphite","As4S3","As S"
"Dingdaohengite-(Ce)","Dingdaohengite-(Ce)","(Ce,La)4Fe2+(Ti,Fe2+,Mg,Fe3+)2Ti2Si4O22","Ce La Fe Ti Mg Si O"
"Dinite","Dinite","C20H36","C H"
"Diomignite","Diomignite","Li2B4O7","Li B O"
"Diopside","Diopside","CaMgSi2O6","Ca Mg Si O"
"Dioptase","Dioptase","CuSiO3·H2O","Cu Si O H"
"Dioskouriite","Dioskouriite","CaCu4Cl6(OH)4·4H2O","Ca Cu Cl O H"
"Direnzoite","Direnzoite","NaK6MgCa2(Al13Si47)O120·36H2O","Na K Mg Ca Al Si O H"
"Dissakisite-(Ce)","Dissakisite-(Ce)","CaCe(Al2Mg)[Si2O7][SiO4]O(OH)","Ca Ce Al Mg Si O H"
"Dissakisite-(La)","Dissakisite-(La)","CaLa(Al2Mg)[Si2O7][SiO4]O(OH)","Ca La Al Mg Si O H"
"Disulfodadsonite","Disulfodadsonite","Pb11Sb13S30(S2)0.5","Pb Sb S"
"Dittmarite","Dittmarite","(NH4)Mg(PO4)·H2O","N H Mg P O"
"Diversilite-(Ce)","Diversilite-(Ce)","Na2Ba6Ce2Fe2+Ti3Si12O36(OH)10·nH2O","Na Ba Ce Fe Ti Si O H"
"Dixenite","Dixenite","Cu1+Fe3+Mn2+14(As5+O4)(As3+O3)5(SiO4)2(OH)6","Cu Fe Mn As O Si H"
"Djerfisherite","Djerfisherite","K6(Fe,Cu,Ni)25S26Cl","K Fe Cu Ni S Cl"
"Djurleite","Djurleite","Cu31S16","Cu S"
"Dmisokolovite","Dmisokolovite","K3Cu5AlO2(AsO4)4","K Cu Al O As"
"Dmisteinbergite","Dmisteinbergite","Ca(Al2Si2O8)","Ca Al Si O"
"Dmitryivanovite","Dmitryivanovite","CaAl2O4","Ca Al O"
"Dobrovolskyite","Dobrovolskyite","Na4Ca(SO4)3","Na Ca S O"
"Dobšináite","Dobsinaite","Ca2Ca(AsO4)2·2H2O","Ca As O H"
"Dokuchaevite","Dokuchaevite","Cu8O2(VO4)3Cl3","Cu O V Cl"
"Dolerophanite","Dolerophanite","Cu2O(SO4)","Cu O S"
"Dollaseite-(Ce)","Dollaseite-(Ce)","CaCe(Mg2Al)[Si2O7][SiO4]F(OH)","Ca Ce Mg Al Si O F H"
"Dolomite","Dolomite","CaMg(CO3)2","Ca Mg C O"
"Doloresite","Doloresite","V4+3O4(OH)4","V O H"
"Domerockite","Domerockite","Cu4(AsO4)(AsO3OH)(OH)3·H2O","Cu As O H"
"Domeykite","Domeykite","Cu3As","Cu As"
"Domeykite-β","Domeykite-beta","Cu3As","Cu As"
"Donbassite","Donbassite","Al2(Si3Al)O10(OH)2·Al2.33(OH)6","Al Si O H"
"Dondoellite","Dondoellite","Ca2Fe(PO4)2·2H2O","Ca Fe P O H"
"Dongchuanite","Dongchuanite","Pb4ZnZn2(PO4)4(OH)2","Pb Zn P O H"
"Donharrisite","Donharrisite","Ni3HgS3","Ni Hg S"
"Donnayite-(Y)","Donnayite-(Y)","NaSr3CaY(CO3)6·3H2O","Na Sr Ca Y C O H"
"Donowensite","Donowensite","Ca(H2O)3Fe3+2(V2O7)2","Ca H O Fe V"
"Donpeacorite","Donpeacorite","(Mn,Mg)MgSi2O6","Mn Mg Si O"
"Donwilhelmsite","Donwilhelmsite","CaAl4Si2O11","Ca Al Si O"
"Dorallcharite","Dorallcharite","TlFe3+3(SO4)2(OH)6","Tl Fe S O H"
"Dorfmanite","Dorfmanite","Na2(PO3OH)·2H2O","Na P O H"
"Dorrite","Dorrite","Ca4[Mg3Fe3+9]O4[Si3Al8Fe3+O36]","Ca Mg Fe O Si Al"
"Douglasite","Douglasite","K2Fe2+Cl4·2H2O","K Fe Cl H O"
"Dovyrenite","Dovyrenite","Ca6Zr(Si2O7)2(OH)4","Ca Zr Si O H"
"Downeyite","Downeyite","SeO2","Se O"
"Doyleite","Doyleite","Al(OH)3","Al O H"
"Dozyite","Dozyite","Mg7Al2(Si4Al2)O15(OH)12","Mg Al Si O H"
"Dravertite","Dravertite","CuMg(SO4)2","Cu Mg S O"
"Dravite","Dravite","NaMg3Al6(Si6O18)(BO3)3(OH)3(OH)","Na Mg Al Si O B H"
"Drechslerite","Drechslerite","Tl4(Sb4-xAsx)S8 (1 < x < 2)","Tl Sb As S"
"Dresserite","Dresserite","Ba2Al4(CO3)4(OH)8·3H2O","Ba Al C O H"
"Dreyerite","Dreyerite","Bi(VO4)","Bi V O"
"Dritsite","Dritsite","Li2Al4(OH)12Cl2·3H2O","Li Al O H Cl"
"Drobecite","Drobecite","Cd(SO4)·4H2O","Cd S O H"
"Droninoite","Droninoite","Ni6Fe3+2Cl2(OH)16·4H2O","Ni Fe Cl O H"
"Drugmanite","Drugmanite","Pb2Fe3+(PO4)(PO3OH)(OH)2","Pb Fe P O H"
"Drysdallite","Drysdallite","MoSe2","Mo Se"
"Dualite","Dualite","Na30(Ca,Na,Ce,Sr)12(Na,Mn,Fe,Ti)6Zr3Ti3MnSi51O144(OH,H2O,Cl)9","Na Ca Ce Sr Mn Fe Ti Zr Si O H Cl"
"Dufrénite","Dufrenite","Ca0.5Fe2+Fe3+5(PO4)4(OH)6·2H2O","Ca Fe P O H"
"Dufrénoysite","Dufrenoysite","Pb2As2S5","Pb As S"
"Duftite","Duftite","PbCu(AsO4)(OH)","Pb Cu As O H"
"Dugganite","Dugganite","Pb3Zn3(TeO6)(AsO4)2","Pb Zn Te O As"
"Dukeite","Dukeite","Bi3+24Cr6+8O57(OH)6·3H2O","Bi Cr O H"
"Dumontite","Dumontite","Pb2(UO2)3O2(PO4)2·5H2O","Pb U O P H"
"Dumortierite","Dumortierite","AlAl6BSi3O18","Al B Si O"
"Dundasite","Dundasite","PbAl2(CO3)2(OH)4·H2O","Pb Al C O H"
"Durangite","Durangite","NaAl(AsO4)F","Na Al As O F"
"Duranusite","Duranusite","As4S","As S"
"Dusmatovite","Dusmatovite","KK2Mn2(Zn2LiSi12)O30","K Mn Zn Li Si O"
"Dussertite","Dussertite","BaFe3+3(AsO4)(AsO3OH)(OH)6","Ba Fe As O H"
"Dutkevichite-(Ce)","Dutkevichite-(Ce)","NaZnBa2Ce2Ti2Si8O26F·H2O","Na Zn Ba Ce Ti Si O F H"
"Dutrowite","Dutrowite","Na(Fe2+2.5Ti0.5)Al6(Si6O18)(BO3)3(OH)3O","Na Fe Ti Al Si O B H"
"Duttonite","Duttonite","V4+O(OH)2","V O H"
"Dwornikite","Dwornikite","Ni(SO4)·H2O","Ni S O H"
"Dymkovite","Dymkovite","Ni(UO2)2(As3+O3)2·7H2O","Ni U O As H"
"Dypingite","Dypingite","Mg5(CO3)4(OH)2·5H2O","Mg C O H"
"Dyrnaesite-(La)","Dyrnaesite-(La)","Na8Ce4+(La,REE)2(PO4)6","Na Ce La REE P O"
"Dyscrasite","Dyscrasite","Ag3+xSb1-x (x ≈ 0.2)","Ag Sb"
"Dzhalindite","Dzhalindite","In(OH)3","In O H"
"Dzharkenite","Dzharkenite","FeSe2","Fe Se"
"Dzhuluite","Dzhuluite","Ca3(SbSn)(Fe3+O4)3","Ca Sb Sn Fe O"
"Dzierżanowskite","Dzierzanowskite","CaCu2S2","Ca Cu S"
"Eakerite","Eakerite","Ca2Sn4+Al2Si6O18(OH)2·2H2O","Ca Sn Al Si O H"
"Earlandite","Earlandite","Ca3(C6H5O7)2·4H2O","Ca C H O"
"Earlshannonite","Earlshannonite","Mn2+Fe3+2(PO4)2(OH)2·4H2O","Mn Fe P O H"
"Eastonite","Eastonite","KAlMg2(Si2Al2)O10(OH)2","K Al Mg Si O H"
"Ecandrewsite","Ecandrewsite","ZnTiO3","Zn Ti O"
"Ecdemite","Ecdemite","Pb6As3+2O7Cl4","Pb As O Cl"
"Eckerite","Eckerite","Ag2CuAsS3","Ag Cu As S"
"Eckermannite","Eckermannite","NaNa2(Mg4Al)Si8O22(OH)2","Na Mg Al Si O H"
"Eckhardite","Eckhardite","(Ca,Pb)Cu2+Te6+O5(H2O)","Ca Pb Cu Te O H"
"Eclarite","Eclarite","(Cu,Fe)Pb9Bi12S28","Cu Fe Pb Bi S"
"Écrinsite","Ecrinsite","AgTl3Pb4As11Sb9S36","Ag Tl Pb As Sb S"
"Eddavidite","Eddavidite","Cu12Pb2O15Br2","Cu Pb O Br"
"Edenharterite","Edenharterite","TlPbAs3S6","Tl Pb As S"
"Edenite","Edenite","NaCa2Mg5(Si7Al)O22(OH)2","Na Ca Mg Si Al O H"
"Edgarbaileyite","Edgarbaileyite","Hg1+6Si2O7","Hg Si O"
"Edgarite","Edgarite","FeNb3S6","Fe Nb S"
"Edgrewite","Edgrewite","Ca9(SiO4)4F2","Ca Si O F"
"Edingtonite","Edingtonite","Ba(Si3Al2)O10·4H2O","Ba Si Al O H"
"Edoylerite","Edoylerite","Hg2+3(Cr6+O4)S2","Hg Cr O S"
"Edscottite","Edscottite","Fe5C2","Fe C"
"Edtollite","Edtollite","K2NaCu5Fe3+O2(AsO4)4","K Na Cu Fe O As"
"Edwardsite","Edwardsite","Cu3Cd2(SO4)2(OH)6·4H2O","Cu Cd S O H"
"Effenbergerite","Effenbergerite","BaCuSi4O10","Ba Cu Si O"
"Efremovite","Efremovite","(NH4)2Mg2(SO4)3","N H Mg S O"
"Eggletonite","Eggletonite","(Na,K,Ca)xMn6(Si,Al)10O24(OH)4·nH2O (x = 1-2; n = 7-11)","Na K Ca Mn Si Al O H"
"Eglestonite","Eglestonite","([Hg1+]2)3OCl3(OH)","Hg O Cl H"
"Ehrleite","Ehrleite","Ca2ZnBe(PO4)2(PO3OH)·4H2O","Ca Zn Be P O H"
"Eifelite","Eifelite","KNa2(MgNa)(Mg3Si12)O30","K Na Mg Si O"
"Eirikite","Eirikite","KNa6Be2(Si15Al3)O39F2","K Na Be Si Al O F"
"Eitelite","Eitelite","Na2Mg(CO3)2","Na Mg C O"
"Ekanite","Ekanite","Ca2ThSi8O20","Ca Th Si O"
"Ekaterinite","Ekaterinite","Ca2B4O7Cl2·2H2O","Ca B O Cl H"
"Ekatite","Ekatite","(Fe3+,Fe2+,Zn)12(AsO3)6(AsO3,SiO3OH)2(OH)6","Fe Zn As O Si H"
"Ekebergite","Ekebergite","ThFeNb2O8","Th Fe Nb O"
"Ekplexite","Ekplexite","(Nb,Mo)S2·(Mg1-xAlx)(OH)2+x","Nb Mo S Mg Al O H"
"Elasmochloite","Elasmochloite","Na3Cu6BiO4(SO4)5","Na Cu Bi O S"
"Elbaite","Elbaite","Na(Al1.5Li1.5)Al6(Si6O18)(BO3)3(OH)3(OH)","Na Al Li Si O B H"
"Elbrusite","Elbrusite","Ca3(U6+0.5Zr1.5)(Fe3+O4)3","Ca U Zr Fe O"
"Eldfellite","Eldfellite","NaFe3+(SO4)2","Na Fe S O"
"Eldragónite","Eldragonite","Cu6BiSe4(Se2)","Cu Bi Se"
"Electrum","Electrum","(Au,Ag)","Au Ag"
"Eleomelanite","Eleomelanite","(K2Pb)Cu4O2(SO4)4","K Pb Cu O S"
"Eleonorite","Eleonorite","Fe3+6(PO4)4O(OH)4·6H2O","Fe P O H"
"Elgoresyite","Elgoresyite","(Mg5Si2)O9","Mg Si O"
"Eliopoulosite","Eliopoulosite","V7S8","V S"
"Eliseevite","Eliseevite","Na1.5Li{Ti2O2[Si4O10.5(OH)1.5]}·2H2O","Na Li Ti O Si H"
"Ellenbergerite","Ellenbergerite","Mg6(Mg,Ti,Zr,[box])2(Al,Mg)6Si8O28(OH)10","Mg Ti Zr Al Si O H"
"Ellestadite-(Cl)","Ellestadite-(Cl)","Ca10(SiO4)3(SO4)3Cl2","Ca Si O S Cl"
"Ellinaite","Ellinaite","CaCr2O4","Ca Cr O"
"Ellingsenite","Ellingsenite","Na5Ca6Si18O38(OH)13·6H2O","Na Ca Si O H"
"Elliottite","Elliottite","NaMgAl3(PO4)2F6·9H2O","Na Mg Al P O F H"
"Ellisite","Ellisite","Tl3AsS3","Tl As S"
"Elpasolite","Elpasolite","K2NaAlF6","K Na Al F"
"Elpidite","Elpidite","Na2ZrSi6O15·3H2O","Na Zr Si O H"
"Eltyubyuite","Eltyubyuite","Ca12Fe3+10Si4O32Cl6","Ca Fe Si O Cl"
"Elyite","Elyite","CuPb4(SO4)O2(OH)4·H2O","Cu Pb S O H"
"Embreyite","Embreyite","Pb5(CrO4)2(PO4)2·H2O","Pb Cr O P H"
"Emeleusite","Emeleusite","Na2LiFe3+Si6O15","Na Li Fe Si O"
"Emilite","Emilite","Cu10.7Pb10.7Bi21.3S48","Cu Pb Bi S"
"Emmerichite","Emmerichite","Ba2Ti2Na3Fe3+(Si2O7)2O2F2","Ba Ti Na Fe Si O F"
"Emmonsite","Emmonsite","Fe3+2(Te4+O3)3·2H2O","Fe Te O H"
"Emplectite","Emplectite","CuBiS2","Cu Bi S"
"Empressite","Empressite","AgTe","Ag Te"
"Enargite","Enargite","Cu3AsS4","Cu As S"
"Engelhauptite","Engelhauptite","KCu3(V2O7)(OH)2Cl","K Cu V O H Cl"
"Englishite","Englishite","K3Na2Ca10Al15(OH)7(PO4)21·26H2O","K Na Ca Al O H P"
"Enneasartorite","Enneasartorite","Tl6Pb32As70S140","Tl Pb As S"
"Enstatite","Enstatite","Mg2Si2O6","Mg Si O"
"Eosphorite","Eosphorite","Mn2+Al(PO4)(OH)2·H2O","Mn Al P O H"
"Ephesite","Ephesite","NaLiAl2(Si2Al2)O10(OH)2","Na Li Al Si O H"
"Epididymite","Epididymite","Na2Be2Si6O15·H2O","Na Be Si O H"
"Epidote","Epidote","Ca2(Al2Fe3+)[Si2O7][SiO4]O(OH)","Ca Al Fe Si O H"
"Epidote-(Sr)","Epidote-(Sr)","CaSr(Al2Fe3+)[Si2O7][SiO4]O(OH)","Ca Sr Al Fe Si O H"
"Epifanovite","Epifanovite","NaCaCu5(PO4)4[AsO2(OH)2]·7H2O","Na Ca Cu P O As H"
"Epistilbite","Epistilbite","Ca3[Si18Al6O48]·16H2O","Ca Si Al O H"
"Epistolite","Epistolite","(Na[box])Nb2Na3Ti(Si2O7)2O2(OH)2(H2O)4","Na Nb Ti Si O H"
"Epsomite","Epsomite","Mg(SO4)·7H2O","Mg S O H"
"Erazoite","Erazoite","Cu4SnS6","Cu Sn S"
"Ercitite","Ercitite","NaMn3+(PO4)(OH)·2H2O","Na Mn P O H"
"Erdite","Erdite","NaFeS2·2H2O","Na Fe S H O"
"Ericaite","Ericaite","Fe2+3B7O13Cl","Fe B O Cl"
"Ericlaxmanite","Ericlaxmanite","Cu4O(AsO4)2","Cu O As"
"Ericssonite","Ericssonite","BaMn2+2Fe3+(Si2O7)O(OH)","Ba Mn Fe Si O H"
"Erikapohlite","Erikapohlite","([box]0.5Cu0.5)CuCaZn2(AsO4)3·H2O","Cu Ca Zn As O H"
"Erikjonssonite","Erikjonssonite","(Pb32O21)[(V,Si,Mo,As)O4]4Cl9","Pb O V Si Mo As Cl"
"Eringaite","Eringaite","Ca3Sc2(SiO4)3","Ca Sc Si O"
"Eriochalcite","Eriochalcite","CuCl2·2H2O","Cu Cl H O"
"Erionite-Ca","Erionite-Ca","Ca5[Si26Al10O72]·30H2O","Ca Si Al O H"
"Erionite-K","Erionite-K","K10[Si26Al10O72]·30H2O","K Si Al O H"
"Erionite-Na","Erionite-Na","Na10[Si26Al10O72]·30H2O","Na Si Al O H"
"Erlianite","Erlianite","Fe2+4Fe3+2Si6O15(OH)8","Fe Si O H"
"Erlichmanite","Erlichmanite","OsS2","Os S"
"Ermakovite","Ermakovite","(NH4)(As2O3)2Br","N H As O Br"
"Ernienickelite","Ernienickelite","NiMn4+3O7·3H2O","Ni Mn O H"
"Erniggliite","Erniggliite","Tl2SnAs2S6","Tl Sn As S"
"Ernstburkeite","Ernstburkeite","Mg(CH3SO3)2·12H2O","Mg C H S O"
"Ernstite","Ernstite","(Mn2+,Fe3+)Al(PO4)(OH,O)2","Mn Fe Al P O H"
"Ershovite","Ershovite","K3Na4(Fe,Mn,Ti)2Si8O20(OH,O)4·4H2O","K Na Fe Mn Ti Si O H"
"Erssonite","Erssonite","CaMg7Fe3+2(OH)18(SO4)2·12H2O","Ca Mg Fe O H S"
"Ertixiite","Ertixiite","Na2Si4O9","Na Si O"
"Erythrite","Erythrite","Co3(AsO4)2·8H2O","Co As O H"
"Erythrosiderite","Erythrosiderite","K2Fe3+Cl5·H2O","K Fe Cl H O"
"Erzwiesite","Erzwiesite","Ag8Pb12Bi16S40","Ag Pb Bi S"
"Escheite","Escheite","Ca2NaMnTi5[Si12O34]O2(OH)3·12H2O","Ca Na Mn Ti Si O H"
"Esdanaite-(Ce)","Esdanaite-(Ce)","NaMnCe(PO4)2·4H2O","Na Mn Ce P O H"
"Eskebornite","Eskebornite","CuFeSe2","Cu Fe Se"
"Eskimoite","Eskimoite","Ag7Pb10Bi15S36","Ag Pb Bi S"
"Eskolaite","Eskolaite","Cr2O3","Cr O"
"Espadaite","Espadaite","Na4Ca3Mg2[AsO3(OH)]2[AsO2(OH)2]10(H2O)6·H2O","Na Ca Mg As O H"
"Esperanzaite","Esperanzaite","NaCa2Al2(AsO4)2F4(OH)·2H2O","Na Ca Al As O F H"
"Esperite","Esperite","PbCa2(ZnSiO4)3","Pb Ca Zn Si O"
"Esquireite","Esquireite","BaSi6O13·7H2O","Ba Si O H"
"Esseneite","Esseneite","CaFe3+AlSiO6","Ca Fe Al Si O"
"Eta - bronze","Eta - bronze","Cu1.2Sn","Cu Sn"
"Ettringite","Ettringite","Ca6Al2(SO4)3(OH)12·27H2O","Ca Al S O H"
"Eucairite","Eucairite","CuAgSe","Cu Ag Se"
"Euchlorine","Euchlorine","KNaCu3O(SO4)3","K Na Cu O S"
"Euchroite","Euchroite","Cu2(AsO4)(OH)·3H2O","Cu As O H"
"Euclase","Euclase","BeAlSiO4(OH)","Be Al Si O H"
"Eucryptite","Eucryptite","LiAlSiO4","Li Al Si O"
"Eudialyte","Eudialyte","Na15Ca6Fe3Zr3Si(Si25O73)(O,OH,H2O)3(Cl,OH)2","Na Ca Fe Zr Si O H Cl"
"Eudidymite","Eudidymite","Na2Be2Si6O15·H2O","Na Be Si O H"
"Eugenite","Eugenite","Ag11Hg2","Ag Hg"
"Eugsterite","Eugsterite","Na4Ca(SO4)3·2H2O","Na Ca S O H"
"Eulytine","Eulytine","Bi4(SiO4)3","Bi Si O"
"Eurekadumpite","Eurekadumpite","(Cu,Zn)16(Te4+O3)2(AsO4)3Cl(OH)18·7H2O","Cu Zn Te O As Cl H"
"Euxenite-(Y)","Euxenite-(Y)","(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)2O6","Y Ca Ce U Th Nb Ta Ti O"
"Evanichite","Evanichite","Pb6Cr3+(Cr6+O4)2(SO4)(OH)7FCl","Pb Cr O S H F Cl"
"Evansite","Evansite","Al3(PO4)(OH)6·8H2O","Al P O H"
"Evdokimovite","Evdokimovite","Tl4(VO)3(SO4)5(H2O)5","Tl V O S H"
"Eveite","Eveite","Mn2+2(AsO4)(OH)","Mn As O H"
"Evenkite","Evenkite","C23H48","C H"
"Eveslogite","Eveslogite","(Ca,K,Na,Sr,Ba)48(Ti,Nb,Fe,Mn)12(OH)12Si48O144(OH,F,Cl)14","Ca K Na Sr Ba Ti Nb Fe Mn O H Si F Cl"
"Evseevite","Evseevite","Na2Mg(AsO4)F","Na Mg As O F"
"Ewaldite","Ewaldite","Ba(Na,Ca,Y,Ce,K)(CO3)2·2.6H2O","Ba Na Ca Y Ce K C O H"
"Ewingite","Ewingite","Mg8Ca8(UO2)24(CO3)30O4(OH)12(H2O)138","Mg Ca U O C H"
"Eylettersite","Eylettersite","Th0.75Al3(PO4)2(OH)6","Th Al P O H"
"Eyselite","Eyselite","Fe3+Ge4+3O7(OH)","Fe Ge O H"
"Ezcurrite","Ezcurrite","Na2B5O7(OH)3·2H2O","Na B O H"
"Eztlite","Eztlite","Pb2Fe3+3(Te4+O3)3(SO4)O2Cl","Pb Fe Te O S Cl"
"Fabianite","Fabianite","CaB3O5(OH)","Ca B O H"
"Fabrièsite","Fabriesite","Na3Al3Si3O12·2H2O","Na Al Si O H"
"Faheyite","Faheyite","Be2Mn2+Fe3+2(PO4)4·6H2O","Be Mn Fe P O H"
"Fahleite","Fahleite","CaZn5Fe3+2(AsO4)6·14H2O","Ca Zn Fe As O H"
"Fairbankite","Fairbankite","Pb2+12(Te4+O3)11(SO4)","Pb Te O S"
"Fairchildite","Fairchildite","K2Ca(CO3)2","K Ca C O"
"Fairfieldite","Fairfieldite","Ca2Mn2+(PO4)2·2H2O","Ca Mn P O H"
"Faizievite","Faizievite","Li6K2Na(Ca6Na)Ti4(Si6O18)2(Si12O30)F2","Li K Na Ca Ti Si O F"
"Falcondoite","Falcondoite","Ni4Si6O15(OH)2·6H2O","Ni Si O H"
