Mineral Name,Mineral Name (plain),IMA Chemistry (concise),Chemistry Elements,URL
Allochalcoselite,Allochalcoselite,Cu^1+^Cu^2+^_5_PbO_2_(SeO_3_)_2_Cl_5_,Cu Pb O Se Cl,https://www.mindat.org/search.php?search=Allochalcoselite
Alloclasite,Alloclasite,CoAsS,Co As S,https://www.mindat.org/search.php?search=Alloclasite
Allophane,Allophane,Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O,Al O Si H,https://www.mindat.org/search.php?search=Allophane
Alloriite,Alloriite,"(Na,K,Ca)_24_(Na,Ca)_4_Ca_4_(Si,Al)_48_O_96_(SO_4_)_4_(SO_3_,CO_3_)_2_(OH,Cl)_2_(H_2_O,OH)_4_",Na K Ca Si Al O S C H Cl,https://www.mindat.org/search.php?search=Alloriite
Alluaivite,Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti,Nb)_3_Si_26_O_74_Cl·2H_2_O",Na Ca Mn Ti Nb Si O Cl H,https://www.mindat.org/search.php?search=Alluaivite
Alluaudite,Alluaudite,[box]NaMnFe^3+^_2_(PO_4_)_3_,Na Mn Fe P O,https://www.mindat.org/search.php?search=Alluaudite
Almandine,Almandine,Fe^2+^_3_Al_2_(SiO_4_)_3_,Fe Al Si O,https://www.mindat.org/search.php?search=Almandine
Almarudite,Almarudite,"K([box],Na)_2_(Mn,Fe,Mg)_2_[(Be,Al)_3_Si_12_]O_30_",K Na Mn Fe Mg Be Al Si O,https://www.mindat.org/search.php?search=Almarudite
Almeidaite,Almeidaite,"PbZn_2_(Mn,Y)(Ti,Fe^3+^)_18_O_36_(OH,O)_2_",Pb Zn Mn Y Ti Fe O H,https://www.mindat.org/search.php?search=Almeidaite
Alnaperbøeite-(Ce),Alnaperboeite-(Ce),(CaCe_2.5_Na_0.5_)(Al_4_)(Si_2_O_7_)(SiO_4_)_3_O(OH)_2_,Ca Ce Na Al Si O H,https://www.mindat.org/search.php?search=Alnaperboeite-(Ce)
Alpeite,Alpeite,Ca_4_Mn^3+^_2_Al_2_(Mn^3+^Mg)(SiO_4_)_2_(Si_3_O_10_)(VO_4_)(OH)_6_,Ca Mn Al Mg Si O V H,https://www.mindat.org/search.php?search=Alpeite
Alpersite,Alpersite,Mg(SO_4_)·7H_2_O,Mg S O H,https://www.mindat.org/search.php?search=Alpersite
Alsakharovite-Zn,Alsakharovite-Zn,"NaSrKZn(Ti,Nb)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Na Sr K Zn Ti Nb Si O H,https://www.mindat.org/search.php?search=Alsakharovite-Zn
Alstonite,Alstonite,BaCa(CO_3_)_2_,Ba Ca C O,https://www.mindat.org/search.php?search=Alstonite
Altaite,Altaite,PbTe,Pb Te,https://www.mindat.org/search.php?search=Altaite
Alterite,Alterite,Zn_2_Fe^3+^_4_(SO_4_)_4_(C_2_O_4_)_2_(OH)_4_·17H_2_O,Zn Fe S O C H,https://www.mindat.org/search.php?search=Alterite
Althausite,Althausite,"Mg_4_(PO_4_)_2_(OH,O)(F,[box])",Mg P O H F,https://www.mindat.org/search.php?search=Althausite
Althupite,Althupite,AlTh(UO_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O,Al Th U O P H,https://www.mindat.org/search.php?search=Althupite
Altisite,Altisite,Na_3_K_6_Ti_2_Al_2_Si_8_O_26_Cl_3_,Na K Ti Al Si O Cl,https://www.mindat.org/search.php?search=Altisite
Aluminite,Aluminite,Al_2_(SO_4_)(OH)_4_·7H_2_O,Al S O H,https://www.mindat.org/search.php?search=Aluminite
Aluminium,Aluminium,Al,Al,https://www.mindat.org/search.php?search=Aluminium
Aluminoceladonite,Aluminoceladonite,"K(Mg,Fe^2+^)Al(Si_4_O_10_)(OH)_2_",K Mg Fe Al Si O H,https://www.mindat.org/search.php?search=Aluminoceladonite
Aluminocerite-(Ce),Aluminocerite-(Ce),"(Ce,REE,Ca)_9_(Al,Fe^3+^)(SiO_4_)_3_[SiO_3_(OH)]_4_(OH)_3_",Ce REE Ca Al Fe Si O H,https://www.mindat.org/search.php?search=Aluminocerite-(Ce)
Aluminocopiapite,Aluminocopiapite,"(Al,Mg)Fe^3+^_4_(SO_4_)_6_(OH,O)_2_·20H_2_O",Al Mg Fe S O H,https://www.mindat.org/search.php?search=Aluminocopiapite
Aluminocoquimbite,Aluminocoquimbite,Al_2_Fe_2_(SO_4_)_6_(H_2_O)_12_·9H_2_O,Al Fe S O H,https://www.mindat.org/search.php?search=Aluminocoquimbite
Aluminomagnesiohulsite,Aluminomagnesiohulsite,Mg_2_AlO_2_(BO_3_),Mg Al O B,https://www.mindat.org/search.php?search=Aluminomagnesiohulsite
Alumino-oxy-rossmanite,Alumino-oxy-rossmanite,Al_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_O,Al Si O B H,https://www.mindat.org/search.php?search=Alumino-oxy-rossmanite
Aluminopyracmonite,Aluminopyracmonite,(NH_4_)_3_Al(SO_4_)_3_,N H Al S O,https://www.mindat.org/search.php?search=Aluminopyracmonite
Aluminosugilite,Aluminosugilite,KNa_2_Al_2_Li_3_Si_12_O_30_,K Na Al Li Si O,https://www.mindat.org/search.php?search=Aluminosugilite
Alum-(K),Alum-(K),KAl(SO_4_)_2_·12H_2_O,K Al S O H,https://www.mindat.org/search.php?search=Alum-(K)
Alum-(Na),Alum-(Na),NaAl(SO_4_)_2_·12H_2_O,Na Al S O H,https://www.mindat.org/search.php?search=Alum-(Na)
Alumoåkermanite,Alumoakermanite,"(Ca,Na)_2_(Al,Mg,Fe^2+^)(Si_2_O_7_)",Ca Na Al Mg Fe Si O,https://www.mindat.org/search.php?search=Alumoakermanite
Alumoedtollite,Alumoedtollite,K_2_NaCu_5_AlO_2_(AsO_4_)_4_,K Na Cu Al O As,https://www.mindat.org/search.php?search=Alumoedtollite
Alumohydrocalcite,Alumohydrocalcite,CaAl_2_(CO_3_)_2_(OH)_4_·4H_2_O,Ca Al C O H,https://www.mindat.org/search.php?search=Alumohydrocalcite
Alumoklyuchevskite,Alumoklyuchevskite,K_3_Cu^2+^_3_AlO_2_(SO_4_)_4_,K Cu Al O S,https://www.mindat.org/search.php?search=Alumoklyuchevskite
Alumotantite,Alumotantite,AlTaO_4_,Al Ta O,https://www.mindat.org/search.php?search=Alumotantite
Alumovesuvianite,Alumovesuvianite,Ca_19_Al(Al_10_Mg_2_)Si_18_O_69_(OH)_9_,Ca Al Mg Si O H,https://www.mindat.org/search.php?search=Alumovesuvianite
Alunite,Alunite,KAl_3_(SO_4_)_2_(OH)_6_,K Al S O H,https://www.mindat.org/search.php?search=Alunite
Alunogen,Alunogen,Al_2_(SO_4_)_3_(H_2_O)_12_·5H_2_O,Al S O H,https://www.mindat.org/search.php?search=Alunogen
Alvanite,Alvanite,Zn^2+^Al_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O,Zn Al V O H,https://www.mindat.org/search.php?search=Alvanite
Alwilkinsite-(Y),Alwilkinsite-(Y),Y(UO_2_)_3_(SO_4_)_2_O(OH)_3_(H_2_O)_7_·7H_2_O,Y U O S H,https://www.mindat.org/search.php?search=Alwilkinsite-(Y)
Amakinite,Amakinite,Fe(OH)_2_,Fe O H,https://www.mindat.org/search.php?search=Amakinite
Amamoorite,Amamoorite,CaMn^2+^_2_Mn^3+^(Si_2_O_7_)O(OH),Ca Mn Si O H,https://www.mindat.org/search.php?search=Amamoorite
Amarantite,Amarantite,Fe^3+^_2_O(SO_4_)_2_·7H_2_O,Fe O S H,https://www.mindat.org/search.php?search=Amarantite
Amarillite,Amarillite,NaFe^3+^(SO_4_)_2_·6H_2_O,Na Fe S O H,https://www.mindat.org/search.php?search=Amarillite
Amblygonite,Amblygonite,LiAl(PO_4_)F,Li Al P O F,https://www.mindat.org/search.php?search=Amblygonite
Ambrinoite,Ambrinoite,"[K,(NH_4_)]_2_(As,Sb)_6_(Sb,As)_2_S_13_·H_2_O",K N H As Sb S O,https://www.mindat.org/search.php?search=Ambrinoite
Ameghinite,Ameghinite,NaB_3_O_3_(OH)_4_,Na B O H,https://www.mindat.org/search.php?search=Ameghinite
Amesite,Amesite,Mg_2_Al(AlSiO_5_)(OH)_4_,Mg Al Si O H,https://www.mindat.org/search.php?search=Amesite
Amgaite,Amgaite,Tl^3+^_2_Te^6+^O_6_,Tl Te O,https://www.mindat.org/search.php?search=Amgaite
Amicite,Amicite,K_2_Na_2_(Al_4_Si_4_O_16_)·5H_2_O,K Na Al Si O H,https://www.mindat.org/search.php?search=Amicite
Aminoffite,Aminoffite,Ca_3_(BeOH)_2_Si_3_O_10_,Ca Be O H Si,https://www.mindat.org/search.php?search=Aminoffite
Ammineite,Ammineite,CuCl_2_·2NH_3_,Cu Cl N H,https://www.mindat.org/search.php?search=Ammineite
Ammonioalunite,Ammonioalunite,(NH_4_)Al_3_(SO_4_)_2_(OH)_6_,N H Al S O,https://www.mindat.org/search.php?search=Ammonioalunite
Ammonioborite,Ammonioborite,(NH_4_)_3_B_15_O_20_(OH)_8_·4H_2_O,N H B O,https://www.mindat.org/search.php?search=Ammonioborite
Ammoniojarosite,Ammoniojarosite,(NH_4_)Fe^3+^_3_(SO_4_)_2_(OH)_6_,N H Fe S O,https://www.mindat.org/search.php?search=Ammoniojarosite
Ammoniolasalite,Ammoniolasalite,[(NH_4_)_2_Mg_2_(H_2_O)_20_]·[V_10_O_28_],N H Mg O V,https://www.mindat.org/search.php?search=Ammoniolasalite
Ammonioleucite,Ammonioleucite,(NH_4_)(AlSi_2_O_6_),N H Al Si O,https://www.mindat.org/search.php?search=Ammonioleucite
Ammoniomagnesiovoltaite,Ammoniomagnesiovoltaite,(NH_4_)_2_Mg_5_Fe^3+^_3_Al(SO_4_)_12_·18H_2_O,N H Mg Fe Al S O,https://www.mindat.org/search.php?search=Ammoniomagnesiovoltaite
Ammoniomathesiusite,Ammoniomathesiusite,(NH_4_)_5_(UO_2_)_4_(SO_4_)_4_(VO_5_)·4H_2_O,N H U O S V,https://www.mindat.org/search.php?search=Ammoniomathesiusite
Ammoniotinsleyite,Ammoniotinsleyite,(NH_4_)Al_2_(PO_4_)_2_(OH)·2H_2_O,N H Al P O,https://www.mindat.org/search.php?search=Ammoniotinsleyite
Ammoniovoltaite,Ammoniovoltaite,(NH_4_)_2_Fe^2+^_5_Fe^3+^_3_Al(SO_4_)_12_(H_2_O)_18_,N H Fe Al S O,https://www.mindat.org/search.php?search=Ammoniovoltaite
Ammoniozippeite,Ammoniozippeite,(NH_4_)_2_[(UO_2_)_2_(SO_4_)O_2_]·H_2_O,N H U O S,https://www.mindat.org/search.php?search=Ammoniozippeite
Amstallite,Amstallite,"CaAl[(Al,Si)_4_O_8_(OH)_2_](OH)_2_·(H_2_O,Cl)",Ca Al Si O H Cl,https://www.mindat.org/search.php?search=Amstallite
Analcime,Analcime,Na(AlSi_2_O_6_)·H_2_O,Na Al Si O H,https://www.mindat.org/search.php?search=Analcime
Anandite,Anandite,BaFe^2+^_3_(Si_3_Fe^3+^)O_10_S(OH),Ba Fe Si O S H,https://www.mindat.org/search.php?search=Anandite
Anapaite,Anapaite,Ca_2_Fe^2+^(PO_4_)_2_·4H_2_O,Ca Fe P O H,https://www.mindat.org/search.php?search=Anapaite
Anastasenkoite,Anastasenkoite,CaFe^2+^P_2_O_7_,Ca Fe P O,https://www.mindat.org/search.php?search=Anastasenkoite
Anatase,Anatase,TiO_2_,Ti O,https://www.mindat.org/search.php?search=Anatase
Anatolyite,Anatolyite,"Na_6_(Ca,Na)(Mg,Fe^3+^)_3_Al(AsO_4_)_6_",Na Ca Mg Fe Al As O,https://www.mindat.org/search.php?search=Anatolyite
Ancylite-(Ce),Ancylite-(Ce),CeSr(CO_3_)_2_(OH)·H_2_O,Ce Sr C O H,https://www.mindat.org/search.php?search=Ancylite-(Ce)
Ancylite-(La),Ancylite-(La),LaSr(CO_3_)_2_(OH)·H_2_O,La Sr C O H,https://www.mindat.org/search.php?search=Ancylite-(La)
Andalusite,Andalusite,Al_2_SiO_5_,Al Si O,https://www.mindat.org/search.php?search=Andalusite
Andersonite,Andersonite,Na_2_Ca(UO_2_)(CO_3_)_3_·5-6H_2_O,Na Ca U O C H,https://www.mindat.org/search.php?search=Andersonite
Andorite IV,Andorite IV,AgPbSb_3_S_6_,Ag Pb Sb S,https://www.mindat.org/search.php?search=Andorite IV
Andorite VI,Andorite VI,AgPbSb_3_S_6_,Ag Pb Sb S,https://www.mindat.org/search.php?search=Andorite VI
Andradite,Andradite,Ca_3_Fe^3+^_2_(SiO_4_)_3_,Ca Fe Si O,https://www.mindat.org/search.php?search=Andradite
Andreadiniite,Andreadiniite,CuHgAg_7_Pb_7_Sb_24_S_48_,Cu Hg Ag Pb Sb S,https://www.mindat.org/search.php?search=Andreadiniite
Andrémeyerite,Andremeyerite,BaFe^2+^_2_(Si_2_O_7_),Ba Fe Si O,https://www.mindat.org/search.php?search=Andremeyerite
Andreyivanovite,Andreyivanovite,FeCrP,Fe Cr P,https://www.mindat.org/search.php?search=Andreyivanovite
Andrianovite,Andrianovite,"Na_12_(K,Sr,Ce)_3_Ca_6_Mn_3_Zr_3_Nb(Si_25_O_73_)(O,H_2_O,OH)_5_",Na K Sr Ce Ca Mn Zr Nb Si O H,https://www.mindat.org/search.php?search=Andrianovite
Anduoite,Anduoite,RuAs_2_,Ru As,https://www.mindat.org/search.php?search=Anduoite
Andychristyite,Andychristyite,PbCu^2+^Te^6+^O_5_(H_2_O),Pb Cu Te O H,https://www.mindat.org/search.php?search=Andychristyite
Andymcdonaldite,Andymcdonaldite,Fe_2_TeO_6_,Fe Te O,https://www.mindat.org/search.php?search=Andymcdonaldite
Andyrobertsite,Andyrobertsite,KCdCu_5_(AsO_4_)_4_[As(OH)_2_O_2_]·2H_2_O,K Cd Cu As O H,https://www.mindat.org/search.php?search=Andyrobertsite
Angarfite,Angarfite,NaFe^3+^_5_(PO_4_)_4_(OH)_4_·4H_2_O,Na Fe P O H,https://www.mindat.org/search.php?search=Angarfite
Angastonite,Angastonite,CaMgAl_2_(PO_4_)_2_(OH)_4_·7H_2_O,Ca Mg Al P O H,https://www.mindat.org/search.php?search=Angastonite
Ángelaite,Angelaite,Cu_2_AgPbBiS_4_,Cu Ag Pb Bi S,https://www.mindat.org/search.php?search=Angelaite
Angelellite,Angelellite,Fe^3+^_4_O_3_(AsO_4_)_2_,Fe O As,https://www.mindat.org/search.php?search=Angelellite
Anglesite,Anglesite,Pb(SO_4_),Pb S O,https://www.mindat.org/search.php?search=Anglesite
Anhydrite,Anhydrite,Ca(SO_4_),Ca S O,https://www.mindat.org/search.php?search=Anhydrite
Anhydrokainite,Anhydrokainite,KMg(SO_4_)Cl,K Mg S O Cl,https://www.mindat.org/search.php?search=Anhydrokainite
Anilite,Anilite,Cu_7_S_4_,Cu S,https://www.mindat.org/search.php?search=Anilite
Ankerite,Ankerite,"Ca(Fe^2+^,Mg)(CO_3_)_2_",Ca Fe Mg C O,https://www.mindat.org/search.php?search=Ankerite
Ankinovichite,Ankinovichite,NiAl_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O,Ni Al V O H,https://www.mindat.org/search.php?search=Ankinovichite
Annabergite,Annabergite,Ni_3_(AsO_4_)_2_·8H_2_O,Ni As O H,https://www.mindat.org/search.php?search=Annabergite
Annite,Annite,KFe^2+^_3_(AlSi_3_O_10_)(OH)_2_,K Fe Al Si O H,https://www.mindat.org/search.php?search=Annite
Anorpiment,Anorpiment,As_2_S_3_,As S,https://www.mindat.org/search.php?search=Anorpiment
Anorthite,Anorthite,Ca(Al_2_Si_2_O_8_),Ca Al Si O,https://www.mindat.org/search.php?search=Anorthite
Anorthominasragrite,Anorthominasragrite,V^4+^O(SO_4_)·5H_2_O,V O S H,https://www.mindat.org/search.php?search=Anorthominasragrite
Ansermetite,Ansermetite,Mn^2+^V^5+^_2_O_6_·4H_2_O,Mn V O H,https://www.mindat.org/search.php?search=Ansermetite
Antarcticite,Antarcticite,CaCl_2_·6H_2_O,Ca Cl H O,https://www.mindat.org/search.php?search=Antarcticite
Anthoinite,Anthoinite,AlWO_3_(OH)_3_,Al W O H,https://www.mindat.org/search.php?search=Anthoinite
Anthonyite,Anthonyite,Cu(OH)_2_·3H_2_O,Cu O H,https://www.mindat.org/search.php?search=Anthonyite
Anthophyllite,Anthophyllite,[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_,Mg Si O H,https://www.mindat.org/search.php?search=Anthophyllite
Antigorite,Antigorite,Mg_3_Si_2_O_5_(OH)_4_,Mg Si O H,https://www.mindat.org/search.php?search=Antigorite
Antimonselite,Antimonselite,Sb_2_Se_3_,Sb Se,https://www.mindat.org/search.php?search=Antimonselite
Antimony,Antimony,Sb,Sb,https://www.mindat.org/search.php?search=Antimony
Antipinite,Antipinite,KNa_3_Cu_2_(C_2_O_4_)_4_,K Na Cu C O,https://www.mindat.org/search.php?search=Antipinite
Antlerite,Antlerite,Cu^2+^_3_(SO_4_)(OH)_4_,Cu S O H,https://www.mindat.org/search.php?search=Antlerite
Antofagastaite,Antofagastaite,Na_2_Ca(SO_4_)_2_·1.5H_2_O,Na Ca S O H,https://www.mindat.org/search.php?search=Antofagastaite
Anyuiite,Anyuiite,AuPb_2_,Au Pb,https://www.mindat.org/search.php?search=Anyuiite
Anzaite-(Ce),Anzaite-(Ce),Ce_4_Fe^2+^Ti_6_O_18_(OH)_2_,Ce Fe Ti O H,https://www.mindat.org/search.php?search=Anzaite-(Ce)
Apachite,Apachite,Cu^2+^_9_Si_10_O_29_·11H_2_O,Cu Si O H,https://www.mindat.org/search.php?search=Apachite
Apexite,Apexite,NaMg(PO_4_)·9H_2_O,Na Mg P O H,https://www.mindat.org/search.php?search=Apexite
Aphthitalite,Aphthitalite,K_3_Na(SO_4_)_2_,K Na S O,https://www.mindat.org/search.php?search=Aphthitalite
Apjohnite,Apjohnite,Mn^2+^Al_2_(SO_4_)_4_·22H_2_O,Mn Al S O H,https://www.mindat.org/search.php?search=Apjohnite
Aplowite,Aplowite,Co(SO_4_)·4H_2_O,Co S O H,https://www.mindat.org/search.php?search=Aplowite
Apuanite,Apuanite,(Fe^2+^Fe^3+^_2_)(Fe^3+^_2_Sb^3+^_4_)O_12_S,Fe Sb O S,https://www.mindat.org/search.php?search=Apuanite
Aqualite,Aqualite,"(H_3_O)_8_(Na,K,Sr)_5_Ca_6_Zr_3_Si_26_O_66_(OH)_9_Cl",H O Na K Sr Ca Zr Si Cl,https://www.mindat.org/search.php?search=Aqualite
Aradite,Aradite,BaCa_6_[(SiO_4_)(VO_4_)](VO_4_)_2_F,Ba Ca Si O V F,https://www.mindat.org/search.php?search=Aradite
Aragonite,Aragonite,Ca(CO_3_),Ca C O,https://www.mindat.org/search.php?search=Aragonite
Arakiite,Arakiite,ZnMn^2+^_12_Fe^3+^_2_(As^3+^O_3_)(As^5+^O_4_)_2_(OH)_23_,Zn Mn Fe As O H,https://www.mindat.org/search.php?search=Arakiite
Aramayoite,Aramayoite,"Ag_3_Sb_2_(Bi,Sb)S_6_",Ag Sb Bi S,https://www.mindat.org/search.php?search=Aramayoite
Arangasite,Arangasite,Al_2_(SO_4_)(PO_4_)F·9H_2_O,Al S O P F H,https://www.mindat.org/search.php?search=Arangasite
Arapovite,Arapovite,"(K_1-x_[box]_x_)(Ca,Na)_2_U^4+^Si_8_O_20_ [x ≈ 0.5]",K Ca Na U Si O,https://www.mindat.org/search.php?search=Arapovite
Aravaipaite,Aravaipaite,Pb_3_AlF_9_·H_2_O,Pb Al F H O,https://www.mindat.org/search.php?search=Aravaipaite
Aravaite,Aravaite,Ba_2_Ca_18_(SiO_4_)_6_(PO_4_)_3_(CO_3_)F_3_O,Ba Ca Si O P C F,https://www.mindat.org/search.php?search=Aravaite
Arcanite,Arcanite,K_2_(SO_4_),K S O,https://www.mindat.org/search.php?search=Arcanite
Archerite,Archerite,H_2_K(PO_4_),H K P O,https://www.mindat.org/search.php?search=Archerite
Arctite,Arctite,(Na_5_Ca)Ca_6_Ba(PO_4_)_6_F_3_,Na Ca Ba P O F,https://www.mindat.org/search.php?search=Arctite
Arcubisite,Arcubisite,Ag_6_CuBiS_4_,Ag Cu Bi S,https://www.mindat.org/search.php?search=Arcubisite
Ardaite,Ardaite,Pb_17_Sb_15_S_35_Cl_9_,Pb Sb S Cl,https://www.mindat.org/search.php?search=Ardaite
Ardealite,Ardealite,Ca_2_(PO_3_OH)(SO_4_)·4H_2_O,Ca P O H S,https://www.mindat.org/search.php?search=Ardealite
Ardennite-(As),Ardennite-(As),Mn^2+^_4_Al_4_(AlMg)(AsO_4_)(SiO_4_)_2_(Si_3_O_10_)(OH)_6_,Mn Al Mg As O Si H,https://www.mindat.org/search.php?search=Ardennite-(As)
Ardennite-(V),Ardennite-(V),Mn^2+^_4_Al_4_(AlMg)(VO_4_)(SiO_4_)_2_(Si_3_O_10_)(OH)_6_,Mn Al Mg V O Si H,https://www.mindat.org/search.php?search=Ardennite-(V)
Arfvedsonite,Arfvedsonite,NaNa_2_(Fe^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_,Na Fe Si O H,https://www.mindat.org/search.php?search=Arfvedsonite
Argandite,Argandite,Mn_7_(VO_4_)_2_(OH)_8_,Mn V O H,https://www.mindat.org/search.php?search=Argandite
Argentobaumhauerite,Argentobaumhauerite,Ag_1.5_Pb_22_As_33.5_S_72_,Ag Pb As S,https://www.mindat.org/search.php?search=Argentobaumhauerite
Argentodufrénoysite,Argentodufrenoysite,Ag_3_Pb_26_As_35_S_80_,Ag Pb As S,https://www.mindat.org/search.php?search=Argentodufrenoysite
Argentojarosite,Argentojarosite,AgFe^3+^_3_(SO_4_)_2_(OH)_6_,Ag Fe S O H,https://www.mindat.org/search.php?search=Argentojarosite
Argentoliveingite,Argentoliveingite,Ag_x_Pb_40-2x_As_48+x_S_112_ (3 < x < 4),Ag Pb As S,https://www.mindat.org/search.php?search=Argentoliveingite
Argentopearceite,Argentopearceite,Ag_16_As_2_S_11_,Ag As S,https://www.mindat.org/search.php?search=Argentopearceite
Argentopentlandite,Argentopentlandite,"Ag(Fe,Ni)_8_S_8_",Ag Fe Ni S,https://www.mindat.org/search.php?search=Argentopentlandite
Argentopolybasite-<i>T</i>2<i>ac</i>,Argentopolybasite-T2ac,Ag_16_Sb_2_S_11_,Ag Sb S,https://www.mindat.org/search.php?search=Argentopolybasite-T2ac
Argentopyrite,Argentopyrite,AgFe_2_S_3_,Ag Fe S,https://www.mindat.org/search.php?search=Argentopyrite
Argentotennantite-(Zn),Argentotennantite-(Zn),Ag_6_(Cu_4_Zn_2_)As_4_S_13_,Ag Cu Zn As S,https://www.mindat.org/search.php?search=Argentotennantite-(Zn)
Argentotetrahedrite-(Fe),Argentotetrahedrite-(Fe),Ag_6_(Cu_4_Fe_2_)Sb_4_S_13_,Ag Cu Fe Sb S,https://www.mindat.org/search.php?search=Argentotetrahedrite-(Fe)
Argentotetrahedrite-(Hg),Argentotetrahedrite-(Hg),Ag_6_(Cu_4_Hg_2_)Sb_4_S_13_,Ag Cu Hg Sb S,https://www.mindat.org/search.php?search=Argentotetrahedrite-(Hg)
Argentotetrahedrite-(Zn),Argentotetrahedrite-(Zn),Ag_6_(Cu_4_Zn_2_)Sb_4_S_13_,Ag Cu Zn Sb S,https://www.mindat.org/search.php?search=Argentotetrahedrite-(Zn)
Argesite,Argesite,(NH_4_)_7_Bi_3_Cl_16_,N H Bi Cl,https://www.mindat.org/search.php?search=Argesite
Argutite,Argutite,GeO_2_,Ge O,https://www.mindat.org/search.php?search=Argutite
Argyrodite,Argyrodite,Ag_8_GeS_6_,Ag Ge S,https://www.mindat.org/search.php?search=Argyrodite
Arhbarite,Arhbarite,Cu_2_Mg(AsO_4_)(OH)_3_,Cu Mg As O H,https://www.mindat.org/search.php?search=Arhbarite
Ariegilatite,Ariegilatite,BaCa_12_(SiO_4_)_4_(PO_4_)_2_F_2_O,Ba Ca Si O P F,https://www.mindat.org/search.php?search=Ariegilatite
Arisite-(Ce),Arisite-(Ce),NaCe_2_(CO_3_)_2_[F_2x_(CO_3_)_1-x_]F,Na Ce C O F,https://www.mindat.org/search.php?search=Arisite-(Ce)
Arisite-(La),Arisite-(La),NaLa_2_(CO_3_)_2_[F_2x_(CO_3_)_1-x_]F,Na La C O F,https://www.mindat.org/search.php?search=Arisite-(La)
Aristarainite,Aristarainite,Na_2_Mg[B_6_O_8_(OH)_4_]_2_·4H_2_O,Na Mg B O H,https://www.mindat.org/search.php?search=Aristarainite
Armalcolite,Armalcolite,"(Mg,Fe^2+^)Ti_2_O_5_",Mg Fe Ti O,https://www.mindat.org/search.php?search=Armalcolite
Armangite,Armangite,Mn^2+^_26_[As^3+^_6_(OH)_4_O_14_][As^3+^_6_O_18_]_2_(CO_3_),Mn As O H C,https://www.mindat.org/search.php?search=Armangite
Armbrusterite,Armbrusterite,Na_6_K_5_Mn^3+^Mn^2+^_14_(Si_9_O_22_)_4_(OH)_10_·4H_2_O,Na K Mn Si O H,https://www.mindat.org/search.php?search=Armbrusterite
Armellinoite-(Ce),Armellinoite-(Ce),Ca_4_Ce^4+^(AsO_4_)_4_·H_2_O,Ca Ce As O H,https://www.mindat.org/search.php?search=Armellinoite-(Ce)
Armenite,Armenite,BaCa_2_(Al_6_Si_9_)O_30_·2H_2_O,Ba Ca Al Si O H,https://www.mindat.org/search.php?search=Armenite
Armstrongite,Armstrongite,CaZr(Si_6_O_15_)·2H_2_O,Ca Zr Si O H,https://www.mindat.org/search.php?search=Armstrongite
Arrheniusite-(Ce),Arrheniusite-(Ce),CaMg[(Ce_7_Y_3_)Ca_5_](SiO_4_)_3_(Si_3_B_3_O_18_)(AsO_4_)(BO_3_)F_11_,Ca Mg Ce Y Si O B As F,https://www.mindat.org/search.php?search=Arrheniusite-(Ce)
Arrojadite-(BaNa),Arrojadite-(BaNa),BaNa_3_(NaCa)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_,Ba Na Ca Fe Al P O H,https://www.mindat.org/search.php?search=Arrojadite-(BaNa)
Arrojadite-(KFe),Arrojadite-(KFe),(KNa)Fe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_,K Na Fe Ca Al P O H,https://www.mindat.org/search.php?search=Arrojadite-(KFe)
Arrojadite-(KNa),Arrojadite-(KNa),KNa_3_(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_,K Na Ca Fe Al P O H,https://www.mindat.org/search.php?search=Arrojadite-(KNa)
Arrojadite-(PbFe),Arrojadite-(PbFe),PbFe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_,Pb Fe Ca Na Al P O H,https://www.mindat.org/search.php?search=Arrojadite-(PbFe)
Arrojadite-(SrFe),Arrojadite-(SrFe),SrFe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_,Sr Fe Ca Na Al P O H,https://www.mindat.org/search.php?search=Arrojadite-(SrFe)
Arsenatrotitanite,Arsenatrotitanite,NaTi(AsO_4_)O,Na Ti As O,https://www.mindat.org/search.php?search=Arsenatrotitanite
Arsenbrackebuschite,Arsenbrackebuschite,"Pb_2_(Fe^3+^,Zn)(AsO_4_)_2_(OH,H_2_O)",Pb Fe Zn As O H,https://www.mindat.org/search.php?search=Arsenbrackebuschite
Arsendescloizite,Arsendescloizite,PbZn(AsO_4_)(OH),Pb Zn As O H,https://www.mindat.org/search.php?search=Arsendescloizite
Arsenic,Arsenic,As,As,https://www.mindat.org/search.php?search=Arsenic
